"","ID","Description","Count","GeneRatio","geneID"
"GO:0035039","GO:0035039","male pronucleus assembly",0,"0/192",""
"GO:0035040","GO:0035040","sperm nuclear envelope removal",0,"0/192",""
"GO:0035041","GO:0035041","sperm chromatin decondensation",0,"0/192",""
"GO:0035042","GO:0035042","fertilization, exchange of chromosomal proteins",0,"0/192",""
"GO:0035044","GO:0035044","sperm aster formation",0,"0/192",""
"GO:0035046","GO:0035046","pronuclear migration",0,"0/192",""
"GO:0035471","GO:0035471","luteinizing hormone signaling pathway involved in ovarian follicle development",0,"0/192",""
"GO:0043093","GO:0043093","FtsZ-dependent cytokinesis",0,"0/192",""
"GO:0045450","GO:0045450","bicoid mRNA localization",0,"0/192",""
"GO:0045729","GO:0045729","respiratory burst at fertilization",0,"0/192",""
"GO:0046595","GO:0046595","establishment of pole plasm mRNA localization",0,"0/192",""
"GO:0048359","GO:0048359","mucilage metabolic process involved in seed coat development",0,"0/192",""
"GO:0048497","GO:0048497","maintenance of floral organ identity",0,"0/192",""
"GO:0048544","GO:0048544","recognition of pollen",0,"0/192",""
"GO:0048573","GO:0048573","photoperiodism, flowering",0,"0/192",""
"GO:0048609","GO:0048609","multicellular organismal reproductive process",0,"0/192",""
"GO:0051037","GO:0051037","regulation of transcription involved in meiotic cell cycle",0,"0/192",""
"GO:0051663","GO:0051663","oocyte nucleus localization involved in oocyte dorsal/ventral axis specification",0,"0/192",""
"GO:0060011","GO:0060011","Sertoli cell proliferation",0,"0/192",""
"GO:0060466","GO:0060466","activation of meiosis involved in egg activation",0,"0/192",""
"GO:0060468","GO:0060468","prevention of polyspermy",0,"0/192",""
"GO:0060469","GO:0060469","positive regulation of transcription involved in egg activation",0,"0/192",""
"GO:0060470","GO:0060470","positive regulation of cytosolic calcium ion concentration involved in egg activation",0,"0/192",""
"GO:0060471","GO:0060471","cortical granule exocytosis",0,"0/192",""
"GO:0060474","GO:0060474","positive regulation of flagellated sperm motility involved in capacitation",0,"0/192",""
"GO:0060475","GO:0060475","positive regulation of actin filament polymerization involved in acrosome reaction",0,"0/192",""
"GO:0060476","GO:0060476","protein localization involved in acrosome reaction",0,"0/192",""
"GO:0060478","GO:0060478","acrosomal vesicle exocytosis",0,"0/192",""
"GO:0060518","GO:0060518","cell migration involved in prostatic bud elongation",0,"0/192",""
"GO:0060519","GO:0060519","cell adhesion involved in prostatic bud elongation",0,"0/192",""
"GO:0060673","GO:0060673","cell-cell signaling involved in placenta development",0,"0/192",""
"GO:0060710","GO:0060710","chorio-allantoic fusion",0,"0/192",""
"GO:0060738","GO:0060738","epithelial-mesenchymal signaling involved in prostate gland development",0,"0/192",""
"GO:0060739","GO:0060739","mesenchymal-epithelial cell signaling involved in prostate gland development",0,"0/192",""
"GO:0060767","GO:0060767","epithelial cell proliferation involved in prostate gland development",0,"0/192",""
"GO:0060781","GO:0060781","mesenchymal cell proliferation involved in prostate gland development",0,"0/192",""
"GO:0060783","GO:0060783","mesenchymal smoothened signaling pathway involved in prostate gland development",0,"0/192",""
"GO:0060858","GO:0060858","vesicle-mediated transport involved in floral organ abscission",0,"0/192",""
"GO:0060869","GO:0060869","transmembrane receptor protein serine/threonine kinase signaling pathway involved in floral organ abscission",0,"0/192",""
"GO:0060870","GO:0060870","cell wall disassembly involved in floral organ abscission",0,"0/192",""
"GO:0061450","GO:0061450","trophoblast cell migration",0,"0/192",""
"GO:0061500","GO:0061500","gene conversion at mating-type locus, termination of copy-synthesis",0,"0/192",""
"GO:0061883","GO:0061883","clathrin-dependent endocytosis involved in vitellogenesis",0,"0/192",""
"GO:0061948","GO:0061948","premature acrosome loss",0,"0/192",""
"GO:0061955","GO:0061955","positive regulation of actin filament depolymerization involved in acrosome reaction",0,"0/192",""
"GO:0070871","GO:0070871","cell wall organization involved in conjugation with cellular fusion",0,"0/192",""
"GO:0070872","GO:0070872","plasma membrane organization involved in conjugation with cellular fusion",0,"0/192",""
"GO:0071507","GO:0071507","MAPK cascade involved in conjugation with cellular fusion",0,"0/192",""
"GO:0071508","GO:0071508","activation of MAPK activity involved in conjugation with cellular fusion",0,"0/192",""
"GO:0071509","GO:0071509","activation of MAPKK activity involved in conjugation with cellular fusion",0,"0/192",""
"GO:0071510","GO:0071510","activation of MAPKKK activity involved in conjugation with cellular fusion",0,"0/192",""
"GO:0071511","GO:0071511","inactivation of MAPK activity involved in conjugation with cellular fusion",0,"0/192",""
"GO:0072409","GO:0072409","detection of stimulus involved in meiotic cell cycle checkpoint",0,"0/192",""
"GO:0090220","GO:0090220","chromosome localization to nuclear envelope involved in homologous chromosome segregation",0,"0/192",""
"GO:1902064","GO:1902064","regulation of transcription from RNA polymerase II promoter involved in spermatogenesis",0,"0/192",""
"GO:1902397","GO:1902397","detection of stimulus involved in meiotic spindle checkpoint",0,"0/192",""
"GO:1902441","GO:1902441","protein localization to meiotic spindle pole body",0,"0/192",""
"GO:2000242","GO:2000242","negative regulation of reproductive process",0,"0/192",""
"GO:0007155","GO:0007155","cell adhesion",0,"0/192",""
"GO:0022608","GO:0022608","multicellular organism adhesion",0,"0/192",""
"GO:0044406","GO:0044406","adhesion of symbiont to host",0,"0/192",""
"GO:0090675","GO:0090675","intermicrovillar adhesion",0,"0/192",""
"GO:0007267","GO:0007267","cell-cell signaling",0,"0/192",""
"GO:0021807","GO:0021807","motogenic signaling initiating cell movement in cerebral cortex",0,"0/192",""
"GO:0021837","GO:0021837","motogenic signaling involved in postnatal olfactory bulb interneuron migration",0,"0/192",""
"GO:0021838","GO:0021838","motogenic signaling involved in interneuron migration from the subpallium to the cortex",0,"0/192",""
"GO:0023056","GO:0023056","positive regulation of signaling",0,"0/192",""
"GO:0023057","GO:0023057","negative regulation of signaling",0,"0/192",""
"GO:0035636","GO:0035636","multi-organism signaling",0,"0/192",""
"GO:0035426","GO:0035426","extracellular matrix-cell signaling",0,"0/192",""
"GO:0035637","GO:0035637","multicellular organismal signaling",0,"0/192",""
"GO:0001503","GO:0001503","ossification",0,"0/192",""
"GO:0001763","GO:0001763","morphogenesis of a branching structure",0,"0/192",""
"GO:0001816","GO:0001816","cytokine production",0,"0/192",""
"GO:0002021","GO:0002021","response to dietary excess",0,"0/192",""
"GO:0002532","GO:0002532","production of molecular mediator involved in inflammatory response",0,"0/192",""
"GO:0003008","GO:0003008","system process",0,"0/192",""
"GO:0003053","GO:0003053","circadian regulation of heart rate",0,"0/192",""
"GO:0007275","GO:0007275","multicellular organism development",0,"0/192",""
"GO:0007389","GO:0007389","pattern specification process",0,"0/192",""
"GO:0007585","GO:0007585","respiratory gaseous exchange",0,"0/192",""
"GO:0007586","GO:0007586","digestion",0,"0/192",""
"GO:0008340","GO:0008340","determination of adult lifespan",0,"0/192",""
"GO:0009561","GO:0009561","megagametogenesis",0,"0/192",""
"GO:0009791","GO:0009791","post-embryonic development",0,"0/192",""
"GO:0009845","GO:0009845","seed germination",0,"0/192",""
"GO:0010022","GO:0010022","meristem determinacy",0,"0/192",""
"GO:0010073","GO:0010073","meristem maintenance",0,"0/192",""
"GO:0010162","GO:0010162","seed dormancy process",0,"0/192",""
"GO:0010232","GO:0010232","vascular transport",0,"0/192",""
"GO:0016203","GO:0016203","muscle attachment",0,"0/192",""
"GO:0019827","GO:0019827","stem cell population maintenance",0,"0/192",""
"GO:0022004","GO:0022004","midbrain-hindbrain boundary maturation during brain development",0,"0/192",""
"GO:0022005","GO:0022005","midbrain-hindbrain boundary maturation during neural plate development",0,"0/192",""
"GO:0022404","GO:0022404","molting cycle process",0,"0/192",""
"GO:0030431","GO:0030431","sleep",0,"0/192",""
"GO:0030588","GO:0030588","pseudocleavage",0,"0/192",""
"GO:0031424","GO:0031424","keratinization",0,"0/192",""
"GO:0032898","GO:0032898","neurotrophin production",0,"0/192",""
"GO:0032922","GO:0032922","circadian regulation of gene expression",0,"0/192",""
"GO:0032941","GO:0032941","secretion by tissue",0,"0/192",""
"GO:0033555","GO:0033555","multicellular organismal response to stress",0,"0/192",""
"GO:0034381","GO:0034381","plasma lipoprotein particle clearance",0,"0/192",""
"GO:0035073","GO:0035073","pupariation",0,"0/192",""
"GO:0035074","GO:0035074","pupation",0,"0/192",""
"GO:0035264","GO:0035264","multicellular organism growth",0,"0/192",""
"GO:0035265","GO:0035265","organ growth",0,"0/192",""
"GO:0035314","GO:0035314","scab formation",0,"0/192",""
"GO:0035889","GO:0035889","otolith tethering",0,"0/192",""
"GO:0036363","GO:0036363","transforming growth factor beta activation",0,"0/192",""
"GO:0042303","GO:0042303","molting cycle",0,"0/192",""
"GO:0043480","GO:0043480","pigment accumulation in tissues",0,"0/192",""
"GO:0044706","GO:0044706","multi-multicellular organism process",0,"0/192",""
"GO:0045494","GO:0045494","photoreceptor cell maintenance",0,"0/192",""
"GO:0048647","GO:0048647","polyphenic determination",0,"0/192",""
"GO:0048771","GO:0048771","tissue remodeling",0,"0/192",""
"GO:0048871","GO:0048871","multicellular organismal homeostasis",0,"0/192",""
"GO:0050817","GO:0050817","coagulation",0,"0/192",""
"GO:0050879","GO:0050879","multicellular organismal movement",0,"0/192",""
"GO:0051239","GO:0051239","regulation of multicellular organismal process",0,"0/192",""
"GO:0051240","GO:0051240","positive regulation of multicellular organismal process",0,"0/192",""
"GO:0051241","GO:0051241","negative regulation of multicellular organismal process",0,"0/192",""
"GO:0055046","GO:0055046","microgametogenesis",0,"0/192",""
"GO:0055127","GO:0055127","vibrational conductance of sound to the inner ear",0,"0/192",""
"GO:0060384","GO:0060384","innervation",0,"0/192",""
"GO:0071684","GO:0071684","organism emergence from protective structure",0,"0/192",""
"GO:0071827","GO:0071827","plasma lipoprotein particle organization",0,"0/192",""
"GO:0090130","GO:0090130","tissue migration",0,"0/192",""
"GO:0090664","GO:0090664","response to high population density",0,"0/192",""
"GO:0097167","GO:0097167","circadian regulation of translation",0,"0/192",""
"GO:0097207","GO:0097207","bud dormancy process",0,"0/192",""
"GO:0097242","GO:0097242","amyloid-beta clearance",0,"0/192",""
"GO:1990110","GO:1990110","callus formation",0,"0/192",""
"GO:0007571","GO:0007571","age-dependent general metabolic decline",0,"0/192",""
"GO:0009838","GO:0009838","abscission",0,"0/192",""
"GO:0009847","GO:0009847","spore germination",0,"0/192",""
"GO:0010014","GO:0010014","meristem initiation",0,"0/192",""
"GO:0021700","GO:0021700","developmental maturation",0,"0/192",""
"GO:0022611","GO:0022611","dormancy process",0,"0/192",""
"GO:0031128","GO:0031128","developmental induction",0,"0/192",""
"GO:0097737","GO:0097737","acquisition of mycelium reproductive competence",0,"0/192",""
"GO:0043696","GO:0043696","dedifferentiation",0,"0/192",""
"GO:0044111","GO:0044111","development involved in symbiotic interaction",0,"0/192",""
"GO:0048532","GO:0048532","anatomical structure arrangement",0,"0/192",""
"GO:0051093","GO:0051093","negative regulation of developmental process",0,"0/192",""
"GO:0060033","GO:0060033","anatomical structure regression",0,"0/192",""
"GO:0090644","GO:0090644","age-related resistance",0,"0/192",""
"GO:0098727","GO:0098727","maintenance of cell number",0,"0/192",""
"GO:0031987","GO:0031987","locomotion involved in locomotory behavior",0,"0/192",""
"GO:0033058","GO:0033058","directional locomotion",0,"0/192",""
"GO:0036268","GO:0036268","swimming",0,"0/192",""
"GO:0040012","GO:0040012","regulation of locomotion",0,"0/192",""
"GO:0040013","GO:0040013","negative regulation of locomotion",0,"0/192",""
"GO:0040017","GO:0040017","positive regulation of locomotion",0,"0/192",""
"GO:0042330","GO:0042330","taxis",0,"0/192",""
"GO:0048870","GO:0048870","cell motility",0,"0/192",""
"GO:0051821","GO:0051821","dissemination or transmission of organism from other organism involved in symbiotic interaction",0,"0/192",""
"GO:0052192","GO:0052192","movement in environment of other organism involved in symbiotic interaction",0,"0/192",""
"GO:0060361","GO:0060361","flight",0,"0/192",""
"GO:0071965","GO:0071965","multicellular organismal locomotion",0,"0/192",""
"GO:0033060","GO:0033060","ocellus pigmentation",0,"0/192",""
"GO:0043474","GO:0043474","pigment metabolic process involved in pigmentation",0,"0/192",""
"GO:0043476","GO:0043476","pigment accumulation",0,"0/192",""
"GO:0048066","GO:0048066","developmental pigmentation",0,"0/192",""
"GO:0022403","GO:0022403","cell cycle phase",0,"0/192",""
"GO:0022601","GO:0022601","menstrual cycle phase",0,"0/192",""
"GO:0044851","GO:0044851","hair cycle phase",0,"0/192",""
"GO:0060206","GO:0060206","estrous cycle phase",0,"0/192",""
"GO:0072690","GO:0072690","single-celled organism vegetative growth phase",0,"0/192",""
"GO:0007623","GO:0007623","circadian rhythm",0,"0/192",""
"GO:0007624","GO:0007624","ultradian rhythm",0,"0/192",""
"GO:0042698","GO:0042698","ovulation cycle",0,"0/192",""
"GO:0042753","GO:0042753","positive regulation of circadian rhythm",0,"0/192",""
"GO:0044089","GO:0044089","positive regulation of cellular component biogenesis",0,"0/192",""
"GO:0045760","GO:0045760","positive regulation of action potential",0,"0/192",""
"GO:0045785","GO:0045785","positive regulation of cell adhesion",0,"0/192",""
"GO:0048087","GO:0048087","positive regulation of developmental pigmentation",0,"0/192",""
"GO:0048584","GO:0048584","positive regulation of response to stimulus",0,"0/192",""
"GO:0051091","GO:0051091","positive regulation of DNA binding transcription factor activity",0,"0/192",""
"GO:0051919","GO:0051919","positive regulation of fibrinolysis",0,"0/192",""
"GO:0060301","GO:0060301","positive regulation of cytokine activity",0,"0/192",""
"GO:1900048","GO:1900048","positive regulation of hemostasis",0,"0/192",""
"GO:1900097","GO:1900097","positive regulation of dosage compensation by inactivation of X chromosome",0,"0/192",""
"GO:1900454","GO:1900454","positive regulation of long term synaptic depression",0,"0/192",""
"GO:1902474","GO:1902474","positive regulation of protein localization to synapse",0,"0/192",""
"GO:1902632","GO:1902632","positive regulation of membrane hyperpolarization",0,"0/192",""
"GO:1902685","GO:1902685","positive regulation of receptor localization to synapse",0,"0/192",""
"GO:1903549","GO:1903549","positive regulation of growth hormone activity",0,"0/192",""
"GO:1903666","GO:1903666","positive regulation of asexual reproduction",0,"0/192",""
"GO:1903829","GO:1903829","positive regulation of cellular protein localization",0,"0/192",""
"GO:1904181","GO:1904181","positive regulation of membrane depolarization",0,"0/192",""
"GO:1904582","GO:1904582","positive regulation of intracellular mRNA localization",0,"0/192",""
"GO:1904704","GO:1904704","positive regulation of protein localization to cell-cell adherens junction",0,"0/192",""
"GO:1904874","GO:1904874","positive regulation of telomerase RNA localization to Cajal body",0,"0/192",""
"GO:1904912","GO:1904912","positive regulation of establishment of RNA localization to telomere",0,"0/192",""
"GO:1904915","GO:1904915","positive regulation of establishment of protein-containing complex localization to telomere",0,"0/192",""
"GO:1904951","GO:1904951","positive regulation of establishment of protein localization",0,"0/192",""
"GO:1905099","GO:1905099","positive regulation of guanyl-nucleotide exchange factor activity",0,"0/192",""
"GO:1905339","GO:1905339","positive regulation of cohesin unloading",0,"0/192",""
"GO:1905514","GO:1905514","positive regulation of short-term synaptic potentiation",0,"0/192",""
"GO:1905605","GO:1905605","positive regulation of maintenance of permeability of blood-brain barrier",0,"0/192",""
"GO:2000199","GO:2000199","positive regulation of ribonucleoprotein complex localization",0,"0/192",""
"GO:2000327","GO:2000327","positive regulation of ligand-dependent nuclear receptor transcription coactivator activity",0,"0/192",""
"GO:0034260","GO:0034260","negative regulation of GTPase activity",0,"0/192",""
"GO:0042754","GO:0042754","negative regulation of circadian rhythm",0,"0/192",""
"GO:0043901","GO:0043901","negative regulation of multi-organism process",0,"0/192",""
"GO:0045759","GO:0045759","negative regulation of action potential",0,"0/192",""
"GO:0048086","GO:0048086","negative regulation of developmental pigmentation",0,"0/192",""
"GO:0051918","GO:0051918","negative regulation of fibrinolysis",0,"0/192",""
"GO:0060302","GO:0060302","negative regulation of cytokine activity",0,"0/192",""
"GO:0110066","GO:0110066","negative regulation of interphase mitotic telomere clustering",0,"0/192",""
"GO:1900047","GO:1900047","negative regulation of hemostasis",0,"0/192",""
"GO:1900096","GO:1900096","negative regulation of dosage compensation by inactivation of X chromosome",0,"0/192",""
"GO:1900272","GO:1900272","negative regulation of long-term synaptic potentiation",0,"0/192",""
"GO:1900453","GO:1900453","negative regulation of long term synaptic depression",0,"0/192",""
"GO:1902631","GO:1902631","negative regulation of membrane hyperpolarization",0,"0/192",""
"GO:1902684","GO:1902684","negative regulation of receptor localization to synapse",0,"0/192",""
"GO:1902886","GO:1902886","negative regulation of proteasome-activating ATPase activity",0,"0/192",""
"GO:1903548","GO:1903548","negative regulation of growth hormone activity",0,"0/192",""
"GO:1903665","GO:1903665","negative regulation of asexual reproduction",0,"0/192",""
"GO:1903828","GO:1903828","negative regulation of cellular protein localization",0,"0/192",""
"GO:1904180","GO:1904180","negative regulation of membrane depolarization",0,"0/192",""
"GO:1904537","GO:1904537","negative regulation of mitotic telomere tethering at nuclear periphery",0,"0/192",""
"GO:1904581","GO:1904581","negative regulation of intracellular mRNA localization",0,"0/192",""
"GO:1904703","GO:1904703","negative regulation of protein localization to cell-cell adherens junction",0,"0/192",""
"GO:1904873","GO:1904873","negative regulation of telomerase RNA localization to Cajal body",0,"0/192",""
"GO:1904911","GO:1904911","negative regulation of establishment of RNA localization to telomere",0,"0/192",""
"GO:1904914","GO:1904914","negative regulation of establishment of protein-containing complex localization to telomere",0,"0/192",""
"GO:1904950","GO:1904950","negative regulation of establishment of protein localization",0,"0/192",""
"GO:1905098","GO:1905098","negative regulation of guanyl-nucleotide exchange factor activity",0,"0/192",""
"GO:1905338","GO:1905338","negative regulation of cohesin unloading",0,"0/192",""
"GO:1905385","GO:1905385","negative regulation of protein localization to presynapse",0,"0/192",""
"GO:1905513","GO:1905513","negative regulation of short-term synaptic potentiation",0,"0/192",""
"GO:1905604","GO:1905604","negative regulation of maintenance of permeability of blood-brain barrier",0,"0/192",""
"GO:1905869","GO:1905869","negative regulation of 3'-UTR-mediated mRNA stabilization",0,"0/192",""
"GO:1905953","GO:1905953","negative regulation of lipid localization",0,"0/192",""
"GO:2000198","GO:2000198","negative regulation of ribonucleoprotein complex localization",0,"0/192",""
"GO:2000326","GO:2000326","negative regulation of ligand-dependent nuclear receptor transcription coactivator activity",0,"0/192",""
"GO:0030155","GO:0030155","regulation of cell adhesion",0,"0/192",""
"GO:0042752","GO:0042752","regulation of circadian rhythm",0,"0/192",""
"GO:0048070","GO:0048070","regulation of developmental pigmentation",0,"0/192",""
"GO:0071898","GO:0071898","regulation of estrogen receptor binding",0,"0/192",""
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels",0,"0/192",""
"GO:0098900","GO:0098900","regulation of action potential",0,"0/192",""
"GO:1900046","GO:1900046","regulation of hemostasis",0,"0/192",""
"GO:1902630","GO:1902630","regulation of membrane hyperpolarization",0,"0/192",""
"GO:1903664","GO:1903664","regulation of asexual reproduction",0,"0/192",""
"GO:1905097","GO:1905097","regulation of guanyl-nucleotide exchange factor activity",0,"0/192",""
"GO:1905603","GO:1905603","regulation of maintenance of permeability of blood-brain barrier",0,"0/192",""
"GO:0009607","GO:0009607","response to biotic stimulus",0,"0/192",""
"GO:0014823","GO:0014823","response to activity",0,"0/192",""
"GO:0014854","GO:0014854","response to inactivity",0,"0/192",""
"GO:0014874","GO:0014874","response to stimulus involved in regulation of muscle adaptation",0,"0/192",""
"GO:0043500","GO:0043500","muscle adaptation",0,"0/192",""
"GO:0043627","GO:0043627","response to estrogen",0,"0/192",""
"GO:0051606","GO:0051606","detection of stimulus",0,"0/192",""
"GO:0051775","GO:0051775","response to redox state",0,"0/192",""
"GO:0072376","GO:0072376","protein activation cascade",0,"0/192",""
"GO:0035732","GO:0035732","nitric oxide storage",0,"0/192",""
"GO:0036214","GO:0036214","contractile ring localization",0,"0/192",""
"GO:0051235","GO:0051235","maintenance of location",0,"0/192",""
"GO:0051674","GO:0051674","localization of cell",0,"0/192",""
"GO:0061842","GO:0061842","microtubule organizing center localization",0,"0/192",""
"GO:1902579","GO:1902579","multi-organism localization",0,"0/192",""
"GO:0051707","GO:0051707","response to other organism",0,"0/192",""
"GO:0044366","GO:0044366","feeding on or from other organism",0,"0/192",""
"GO:0044419","GO:0044419","interspecies interaction between organisms",0,"0/192",""
"GO:0051703","GO:0051703","intraspecies interaction between organisms",0,"0/192",""
"GO:0051816","GO:0051816","acquisition of nutrients from other organism during symbiotic interaction",0,"0/192",""
"GO:0098630","GO:0098630","aggregation of unicellular organisms",0,"0/192",""
"GO:0098740","GO:0098740","multi organism cell adhesion",0,"0/192",""
"GO:0001502","GO:0001502","cartilage condensation",0,"0/192",""
"GO:0009407","GO:0009407","toxin catabolic process",0,"0/192",""
"GO:0010127","GO:0010127","mycothiol-dependent detoxification",0,"0/192",""
"GO:0010312","GO:0010312","detoxification of zinc ion",0,"0/192",""
"GO:0051410","GO:0051410","detoxification of nitrogen compound",0,"0/192",""
"GO:0061687","GO:0061687","detoxification of inorganic compound",0,"0/192",""
"GO:0071722","GO:0071722","detoxification of arsenic-containing substance",0,"0/192",""
"GO:0016080","GO:0016080","synaptic vesicle targeting",0,"0/192",""
"GO:0007269","GO:0007269","neurotransmitter secretion",0,"0/192",""
"GO:0016079","GO:0016079","synaptic vesicle exocytosis",0,"0/192",""
"GO:0016081","GO:0016081","synaptic vesicle docking",0,"0/192",""
"GO:0016082","GO:0016082","synaptic vesicle priming",0,"0/192",""
"GO:0031629","GO:0031629","synaptic vesicle fusion to presynaptic active zone membrane",0,"0/192",""
"GO:0051583","GO:0051583","dopamine uptake involved in synaptic transmission",0,"0/192",""
"GO:0099069","GO:0099069","synaptic vesicle tethering involved in synaptic vesicle exocytosis",0,"0/192",""
"GO:0099502","GO:0099502","calcium-dependent activation of synaptic vesicle fusion",0,"0/192",""
"GO:0099703","GO:0099703","induction of synaptic vesicle exocytosis by positive regulation of presynaptic cytosolic calcium ion concentration",0,"0/192",""
