"","ID","Description","Count","GeneRatio","geneID"
"GO:0000035","GO:0000035","acyl binding",1,"1/1471","2779"
"GO:0050840","GO:0050840","extracellular matrix binding",1,"1/1471","3685"
"GO:0043176","GO:0043176","amine binding",1,"1/1471","3363"
"GO:1904493","GO:1904493","tetrahydrofolyl-poly(glutamate) polymer binding",1,"1/1471","2346"
"GO:0004784","GO:0004784","superoxide dismutase activity",1,"1/1471","6648"
"GO:0004791","GO:0004791","thioredoxin-disulfide reductase activity",1,"1/1471","7295"
"GO:0032542","GO:0032542","sulfiredoxin activity",1,"1/1471","83667"
"GO:0016530","GO:0016530","metallochaperone activity",1,"1/1471","7018"
"GO:0140142","GO:0140142","nucleocytoplasmic carrier activity",1,"1/1471","64328"
"GO:0004133","GO:0004133","glycogen debranching enzyme activity",0,"0/1471",""
"GO:0008987","GO:0008987","quinolinate synthetase A activity",0,"0/1471",""
"GO:0010280","GO:0010280","UDP-L-rhamnose synthase activity",0,"0/1471",""
"GO:0046572","GO:0046572","versicolorin B synthase activity",0,"0/1471",""
"GO:0046905","GO:0046905","phytoene synthase activity",0,"0/1471",""
"GO:0070283","GO:0070283","radical SAM enzyme activity",0,"0/1471",""
"GO:1990055","GO:1990055","phenylacetaldehyde synthase activity",0,"0/1471",""
"GO:0000156","GO:0000156","phosphorelay response regulator activity",0,"0/1471",""
"GO:0005068","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",0,"0/1471",""
"GO:0008086","GO:0008086","light-activated voltage-gated calcium channel activity",0,"0/1471",""
"GO:0008384","GO:0008384","IkappaB kinase activity",0,"0/1471",""
"GO:0009927","GO:0009927","histidine phosphotransfer kinase activity",0,"0/1471",""
"GO:0038078","GO:0038078","MAP kinase phosphatase activity involved in regulation of innate immune response",0,"0/1471",""
"GO:0097199","GO:0097199","cysteine-type endopeptidase activity involved in apoptotic signaling pathway",0,"0/1471",""
"GO:0099107","GO:0099107","ion channel regulator activity involved in G-protein coupled receptor signaling pathway",0,"0/1471",""
"GO:1990890","GO:1990890","netrin receptor binding",0,"0/1471",""
"GO:0004873","GO:0004873","asialoglycoprotein receptor activity",0,"0/1471",""
"GO:0008196","GO:0008196","vitellogenin receptor activity",0,"0/1471",""
"GO:0033568","GO:0033568","lactoferrin receptor activity",0,"0/1471",""
"GO:0061714","GO:0061714","folic acid receptor activity",0,"0/1471",""
"GO:0070287","GO:0070287","ferritin receptor activity",0,"0/1471",""
"GO:0005199","GO:0005199","structural constituent of cell wall",0,"0/1471",""
"GO:0005213","GO:0005213","structural constituent of chorion",0,"0/1471",""
"GO:0008147","GO:0008147","structural constituent of bone",0,"0/1471",""
"GO:0016490","GO:0016490","structural constituent of peritrophic membrane",0,"0/1471",""
"GO:0019911","GO:0019911","structural constituent of myelin sheath",0,"0/1471",""
"GO:0030527","GO:0030527","structural constituent of chromatin",0,"0/1471",""
"GO:0035804","GO:0035804","structural constituent of egg coat",0,"0/1471",""
"GO:0039660","GO:0039660","structural constituent of virion",0,"0/1471",""
"GO:0042302","GO:0042302","structural constituent of cuticle",0,"0/1471",""
"GO:0043886","GO:0043886","structural constituent of carboxysome",0,"0/1471",""
"GO:0097099","GO:0097099","structural constituent of albumen",0,"0/1471",""
"GO:0098918","GO:0098918","structural constituent of synapse",0,"0/1471",""
"GO:0017089","GO:0017089","glycolipid transporter activity",0,"0/1471",""
"GO:0034202","GO:0034202","glycolipid-translocating activity",0,"0/1471",""
"GO:0034437","GO:0034437","glycoprotein transporter activity",0,"0/1471",""
"GO:0005549","GO:0005549","odorant binding",0,"0/1471",""
"GO:0008430","GO:0008430","selenium binding",0,"0/1471",""
"GO:0019808","GO:0019808","polyamine binding",0,"0/1471",""
"GO:0031409","GO:0031409","pigment binding",0,"0/1471",""
"GO:0033226","GO:0033226","2-aminoethylphosphonate binding",0,"0/1471",""
"GO:0035731","GO:0035731","dinitrosyl-iron complex binding",0,"0/1471",""
"GO:0043287","GO:0043287","poly(3-hydroxyalkanoate) binding",0,"0/1471",""
"GO:0046812","GO:0046812","host cell surface binding",0,"0/1471",""
"GO:0046790","GO:0046790","virion binding",0,"0/1471",""
"GO:0046848","GO:0046848","hydroxyapatite binding",0,"0/1471",""
"GO:0046904","GO:0046904","calcium oxalate binding",0,"0/1471",""
"GO:0050436","GO:0050436","microfibril binding",0,"0/1471",""
"GO:0050824","GO:0050824","water binding",0,"0/1471",""
"GO:0050997","GO:0050997","quaternary ammonium group binding",0,"0/1471",""
"GO:0070026","GO:0070026","nitric oxide binding",0,"0/1471",""
"GO:0072328","GO:0072328","alkene binding",0,"0/1471",""
"GO:0097243","GO:0097243","flavonoid binding",0,"0/1471",""
"GO:1901567","GO:1901567","fatty acid derivative binding",0,"0/1471",""
"GO:1904012","GO:1904012","platinum binding",0,"0/1471",""
"GO:1904013","GO:1904013","xenon atom binding",0,"0/1471",""
"GO:1904483","GO:1904483","synthetic cannabinoid binding",0,"0/1471",""
"GO:1904517","GO:1904517","MgATP(2-) binding",0,"0/1471",""
"GO:1990300","GO:1990300","cellulosome binding",0,"0/1471",""
"GO:0004362","GO:0004362","glutathione-disulfide reductase activity",0,"0/1471",""
"GO:0045174","GO:0045174","glutathione dehydrogenase (ascorbate) activity",0,"0/1471",""
"GO:0050605","GO:0050605","superoxide reductase activity",0,"0/1471",""
"GO:0051920","GO:0051920","peroxiredoxin activity",0,"0/1471",""
"GO:0004694","GO:0004694","eukaryotic translation initiation factor 2alpha kinase activity",0,"0/1471",""
"GO:0044748","GO:0044748","3'-5'-exoribonuclease activity involved in mature miRNA 3'-end processing",0,"0/1471",""
"GO:0045183","GO:0045183","translation factor activity, non-nucleic acid binding",0,"0/1471",""
"GO:0090624","GO:0090624","endoribonuclease activity, cleaving miRNA-paired mRNA",0,"0/1471",""
"GO:0000036","GO:0000036","acyl carrier activity",0,"0/1471",""
"GO:0005344","GO:0005344","oxygen carrier activity",0,"0/1471",""
"GO:0022809","GO:0022809","mobile ion carrier activity",0,"0/1471",""
"GO:0097163","GO:0097163","sulfur carrier activity",0,"0/1471",""
"GO:0140132","GO:0140132","iron-sulfur cluster carrier activity",0,"0/1471",""
"GO:0001070","GO:0001070","RNA binding transcription regulator activity",0,"0/1471",""
"GO:0001072","GO:0001072","transcription antitermination factor activity, RNA binding",0,"0/1471",""
"GO:0001073","GO:0001073","transcription antitermination factor activity, DNA binding",0,"0/1471",""
